article,category,summary
"Learning Macroeconomic Policies based on Microfoundations: A Stackelberg
  Mean Field Game Approach",Economic Theory,lucas critique emphasizes importance considering microfoundations how microagents ie households respond policy changes macroeconomic policymaking however due vast scale complex dynamics among microagents predicting microfoundations challenging consequently paper introduces stackelberg mean field game smfg approach models macroeconomic policymaking based microfoundations government leader microagents dynamic followers approach treats largescale microagents population optimize macroeconomic policies learning dynamic response micropopulation our experimental results indicate smfg approach outperforms realworld macroeconomic policies existing aibased economic methods enabling learned macroeconomic policy achieve highest performance while guiding largescale microagents toward maximal social welfare additionally when extended realworld scenarios households do not adopt smfg policy experience lower utility wealth than adopters thereby increasing attractiveness our policy summary paper contributes field ai economics offering effective tool modeling solving macroeconomic policymaking issues
Decisions over Sequences,Economic Theory,paper introduces class objects called decision rules map infinite sequences alternatives decision space these objects can be used model situations where decision maker encounters alternatives sequence such receiving recommendations within class decision rules we study natural subclasses stopping uniform stopping rules our main result establishes equivalence these two subclasses decision rules next we introduce notion computability decision rules using turing machines show computable rules can be implemented using simpler computational device finite automaton we further show computability choice rules important subclass decision rules implied their continuity respect natural topology finally we introduce some natural heuristics framework provide their behavioral characterization
"Fair Shares: Feasibility, Domination and Incentives",Economic Theory,we consider fair allocation set indivisible goods equallyentitled agents no monetary transfers every agent has valuation vi some given class valuation functions share function maps pair vin value interpretation if allocation agents fails give agent bundle value least equal svin serves evidence allocation not fair towards such interpretation make sense we would like share be feasible meaning any valuations class there allocation gives every agent least her share maximin share was natural candidate feasible share additive valuations however kurokawa procaccia wang show it not feasible we initiate systematic study family feasible shares we say share emphself maximizing if truthtelling maximizes implied guarantee we show every feasible share dominated some selfmaximizing feasible share we seek identify those selfmaximizing feasible shares are polynomial time computable offer highest share values we show smdominating feasible share one dominates every selfmaximizing sm feasible share does not exist additive valuations beyond consequently we relax domination property domination up multiplicative factor rho called rhodominating additive valuations we present shares are feasible selfmaximizing polynomialtime computable agents we present such share fracnndominating two agents we present such share epsilondominating moreover these shares we present polytime algorithms compute allocations give every agent least her share
PIMKL: Pathway Induced Multiple Kernel Learning,Molecular Networks,reliable identification molecular biomarkers essential accurate patient stratification while stateoftheart machine learning approaches sample classification continue push boundaries terms performance most these methods are not able integrate different data types lack generalization power limiting their application clinical setting furthermore many methods behave black boxes we have very little understanding about mechanisms lead prediction while opaqueness concerning machine behaviour might not be problem deterministic domains health care providing explanations about molecular factors phenotypes are driving classification crucial build trust performance predictive system we propose pathway induced multiple kernel learning pimkl novel methodology reliably classify samples can also help gain insights into molecular mechanisms underlie classification pimkl exploits prior knowledge form molecular interaction network annotated gene sets optimizing mixture pathwayinduced kernels using multiple kernel learning mkl algorithm approach has demonstrated excellent performance different machine learning applications after optimizing combination kernels prediction specific phenotype model provides stable molecular signature can be interpreted light ingested prior knowledge can be used transfer learning tasks
Towards Scalable Modeling of Biology in Event-B,Molecular Networks,biology offers many examples largescale complex concurrent systems many processes take place parallel compete resources influence each others behavior scalable modeling biological systems continues be very active field research paper we introduce new approach based eventb statebased formal method refinement its central ingredient allowing us check model consistency stepbystep automated way our approach based functions leads elegant concise modeling method we demonstrate approach constructing what our knowledge largest ever built eventb model describing erbb signaling pathway key evolutionary pathway significant role development many types cancer eventb model erbb pathway describes molecular reactions through events
"Network-principled deep generative models for designing drug
  combinations as graph sets",Molecular Networks,combination therapy has shown improve therapeutic efficacy while reducing side effects importantly it has become indispensable strategy overcome resistance antibiotics antimicrobials anticancer drugs facing enormous chemical space unclear design principles smallmolecule combinations computational drugcombination design has not seen generative models meet its potential accelerate resistanceovercoming drug combination discovery we have developed first deep generative model drug combination design jointly embedding graphstructured domain knowledge iteratively training reinforcement learningbased chemical graphset designer first we have developed hierarchical variational graph autoencoders hvgae trained endtoend jointly embed genegene genedisease diseasedisease networks novel attentional pooling introduced here learning diseaserepresentations associated genes representations second targeting diseases learned representations we have recast drugcombination design problem graphset generation developed deep learningbased model novel rewards specifically besides chemical validity rewards we have introduced novel generative adversarial award being generalized sliced wasserstein chemically diverse molecules distributions similar known drugs we have also designed network principlebased reward drug combinations numerical results indicate compared graph embedding methods hvgae learns more informative generalizable disease representations case studies four diseases show networkprincipled drug combinations tend have low toxicity generated drug combinations collectively cover disease module similar fdaapproved drug combinations could potentially suggest novel systemspharmacology strategies
"Supervised, semi-supervised and unsupervised inference of gene
  regulatory networks",Molecular Networks,inference gene regulatory network expression data challenging task many methods have been developed purpose but comprehensive evaluation covers unsupervised semisupervised supervised methods provides guidelines their practical application lacking we performed extensive evaluation inference methods simulated expression data results reveal very low prediction accuracies unsupervised techniques notable exception zscore method knockout data all other cases supervised approach achieved highest accuracies even semisupervised setting small numbers only positive samples outperformed unsupervised techniques
"Faster graphical model identification of tandem mass spectra using
  peptide word lattices",Molecular Networks,liquid chromatography coupled tandem mass spectrometry also known shotgun proteomics widelyused highthroughput technology identifying proteins complex biological samples analysis tens thousands fragmentation spectra produced typical shotgun proteomics experiment begins assigning each observed spectrum peptide hypothesized be responsible generating spectrum typically done searching each spectrum against database peptides we have recently described machine learning methoddynamic bayesian network rapid identification peptides dripthat not only achieves stateoftheart spectrum identification performance variety datasets but also provides trainable model capable returning valuable auxiliary information regarding specific peptidespectrum matches work we present two significant improvements drip first we describe how use word lattices which are widely used natural language processing significantly speed up drips computations our knowledge all existing shotgun proteomics search engines compute independent scores between given observed spectrum each possible candidate peptide database key idea word lattice represent set candidate peptides single data structure thereby allowing sharing redundant computations among different candidates we demonstrate using lattices conjunction drip leads speedups order tens across yeast worm data sets second we introduce variant drip uses discriminative training framework performing maximum mutual entropy estimation rather than maximum likelihood estimation modification improves drips statistical power enabling us increase number identified spectrum false discovery rate yeast worm data sets
Prediction of Infinite Words with Automata,Formal Languages and Automata Theory,classic problem sequence prediction predictor receives sequence values emitter tries guess next value before it appears predictor masters emitter if there point after which all predictors guesses are correct paper we consider case which predictor automaton emitted values are drawn finite set ie emitted sequence infinite word we examine predictive capabilities finite automata pushdown automata stack automata generalization pushdown automata multihead finite automata we relate our predicting automata purely periodic words ultimately periodic words multilinear words describing novel prediction algorithms mastering these sequences
Automata for Hyperlanguages,Formal Languages and Automata Theory,hyperproperties lift conventional trace properties set execution traces set sets execution traces hyperproperties have been shown be powerful formalism expressing reasoning about informationflow security policies important properties cyberphysical systems such sensitivity robustness well consistency conditions distributed computing such linearizability although there extensive body work automatabased representation trace properties we currently lack such characterization hyperproperties we introduce hyperautomata em hyperlanguages which are languages over sets words essentially hyperautomata allow running multiple quantified words over automaton we propose specific type hyperautomata called nondeterministic finite hyperautomata nfh which accept regular hyperlanguages we demonstrate ability regular hyperlanguages express hyperproperties finite traces we then explore fundamental properties nfh show their closure under boolean operations we show while nonemptiness undecidable general it decidable several fragments nfh we further show decidability membership problem finite sets regular languages nfh well containment problem several fragments nfh finally we introduce learning algorithms based angluins lstar algorithm fragments nfh which quantification either strictly universal strictly existential
On Learning Nominal Automata with Binders,Formal Languages and Automata Theory,we investigate learning algorithm context nominal automata extension classical automata alphabets featuring names class automata captures nominal regular languages analogously classical language theory nominal automata have been shown characterise nominal regular expressions binders these formalisms are amenable abstract modelling resourceaware computations we propose learning algorithm nominal regular languages binders our algorithm generalises angluins algorithm respect nominal regular languages binders we show correctness study theoretical complexity our algorithm
Learning of Structurally Unambiguous Probabilistic Grammars,Formal Languages and Automata Theory,problem identifying probabilistic context free grammar has two aspects first determining grammars topology rules grammar second estimating probabilistic weights each rule given hardness results learning contextfree grammars general probabilistic grammars particular most literature has concentrated second problem work we address first problem we restrict attention structurally unambiguous weighted contextfree grammars suwcfg provide query learning algorithm structurally unambiguous probabilistic contextfree grammars supcfg we show suwcfg can be represented using colinear multiplicity tree automata cmta provide polynomial learning algorithm learns cmtas we show learned cmta can be converted into probabilistic grammar thus providing complete algorithm learning structurally unambiguous probabilistic context free grammar both grammar topology probabilistic weights using structured membership queries structured equivalence queries we demonstrate usefulness our algorithm learning pcfgs over genomic data
Query Learning Algorithm for Residual Symbolic Finite Automata,Formal Languages and Automata Theory,we propose query learning algorithm residual symbolic finite automata rsfas symbolic finite automata sfas are finite automata whose transitions are labeled predicates over boolean algebra which big collection characters leading same transition may be represented single predicate residual finite automata rfas are special type nondeterministic finite automata which can be exponentially smaller than minimum deterministic finite automata have favorable property learning algorithms rsfas have both properties sfas rfas can have more succinct representation transitions fewer states than rfas deterministic sfas accepting same language implementation our algorithm efficiently learns rsfas over huge alphabet outperforms existing learning algorithm deterministic sfas result also shows benefit nondeterminism efficiency even larger learning sfas than nonsymbolic automata
"On a link between kernel mean maps and Fraunhofer diffraction, with an
  application to super-resolution beyond the diffraction limit",Optics,we establish link between fourier optics recent construction machine learning community termed kernel mean map using fraunhofer approximation it identifies kernel squared fourier transform aperture allows us use results about invertibility kernel mean map provide statement about invertibility fraunhofer diffraction showing imaging processes arbitrarily small apertures can principle be invertible ie do not lose information provided objects be imaged satisfy generic condition real world experiment shows we can superresolve beyond rayleigh limit
Time-lapse image classification using a diffractive neural network,Optics,diffractive deep neural networks dnns define alloptical computing framework comprised spatially engineered passive surfaces collectively process optical input information modulating amplitude andor phase propagating light diffractive optical networks complete their computational tasks speed light propagation through thin diffractive volume without any external computing power while exploiting massive parallelism optics diffractive networks were demonstrated achieve alloptical classification objects perform universal linear transformations here we demonstrate first time timelapse image classification scheme using diffractive network significantly advancing its classification accuracy generalization performance complex input objects using lateral movements input objects andor diffractive network relative each other different context such relative movements objects andor camera are routinely being used image superresolution applications inspired their success we designed timelapse diffractive network benefit complementary information content created controlled random lateral shifts we numerically explored design space performance limits timelapse diffractive networks revealing blind testing accuracy optical classification objects cifar dataset constitutes highest inference accuracy achieved so far using single diffractive network cifar dataset timelapse diffractive networks will be broadly useful spatiotemporal analysis input signals using alloptical processors
"Monadic Pavlovian associative learning in a backpropagation-free
  photonic network",Optics,over century ago ivan pavlov classic experiment demonstrated how dogs can learn associate ringing bell food thereby causing ring result salivation today it rare find use pavlovian type associative learning artificial intelligence ai applications even though other learning concepts particular backpropagation artificial neural networks anns have flourished however training using backpropagation method conventional anns especially form modern deep neural networks dnns computationally energy intensive here we experimentally demonstrate form backpropagationfree learning using single monadic associative hardware element we realize integrated photonic platform using phasechange materials combined onchip cascaded directional couplers we then develop scaledup circuit network using our monadic pavlovian photonic hardware delivers distinct machinelearning framework based singleelement associations importantly using backpropagationfree architectures address general learning tasks our approach reduces computational burden imposed learning conventional neural network approaches thereby increasing speed whilst also offering higher bandwidth inherent our photonic implementation
"Optically-triggered deterministic spiking regimes in nanostructure
  resonant tunnelling diode-photodetectors",Optics,work reports nanostructure resonant tunnelling diodephotodetector rtdpd device demonstrates its operation controllable opticallytriggered excitable spike generator top contact layer device designed nanopillar structure nm diameter restrain injection current yielding therefore lower energy operation spike generation we demonstrate experimentally deterministic optical triggering controllable repeatable neuronlike spike patterns nanostructure rtdpds moreover we show devices ability deliver spiking responses when biased both regions adjacent negative differential conductance ndc region socalled peak valley points currentvoltage iv characteristic work also demonstrates experimentally key neuronlike dynamical features nanostructure rtdpd such welldefined threshold input optical intensity spike firing well presence spike firing refractory time optoelectronic chipscale character proposed system together deterministic repeatable well controllable nature opticallyelicited spiking responses render nanostructure rtdpd element highly promising solution highspeed energyefficient optoelectronic artificial spiking neurons novel lightenabled neuromorphic computing hardware
Deep Learning Reconstruction of Ultra-Short Pulses,Optics,ultrashort laser pulses femtosecond attosecond pulse duration are shortest systematic events humans can create characterization amplitude phase these pulses key ingredient ultrafast science eg exploring chemical reactions electronic phase transitions here we propose demonstrate numerically experimentally first deep neural network technique reconstruct ultrashort optical pulses we anticipate approach will extend range ultrashort laser pulses can be characterized eg enabling diagnose very weak attosecond pulses
"Uncovering wall-shear stress dynamics from neural-network enhanced fluid
  flow measurements",Fluid Dynamics,friction drag turbulent fluid moving past inside object plays crucial role domains diverse transportation public utility infrastructure energy technology human health direct measure shearinduced friction forces accurate prediction wallshear stress can contribute sustainability conservation resources carbon neutrality civil aviation well enhanced medical treatment vascular diseases cancer despite such importance our modern society we still lack adequate experimental methods capture instantaneous wallshear stress dynamics contribution we present holistic approach derives velocity wallshear stress fields impressive spatial temporal resolution flow measurements using deep optical flow estimator physical knowledge validity physical correctness derived flow quantities demonstrated synthetic realworld experimental data covering range relevant fluid flows
Local manifold learning and its link to domain-based physics knowledge,Fluid Dynamics,many reacting flow systems thermochemical statespace known assumed evolve close lowdimensional manifold ldm various approaches are available obtain those manifolds subsequently express original highdimensional space fewer parameterizing variables principal component analysis pca one dimensionality reduction methods can be used obtain ldms pca does not make prior assumptions about parameterizing variables retrieves them empirically training data paper we show pca applied local clusters data local pca capable detecting intrinsic parameterization thermochemical statespace we first demonstrate utilizing three common combustion models varying complexity burkeschumann model chemical equilibrium model homogeneous reactor parameterization these models known priori which allows benchmarking local pca approach we further extend application local pca more challenging case turbulent nonpremixed nheptaneair jet flame which parameterization no longer obvious our results suggest meaningful parameterization can be obtained also more complex datasets we show local pca finds variables can be linked local stoichiometry reaction progress soot formation processes
"AutoTurb: Using Large Language Models for Automatic Algebraic Model
  Discovery of Turbulence Closure",Fluid Dynamics,symbolic regression sr methods have been extensively investigated explore explicit algebraic reynolds stress models earsm turbulence closure reynoldsaveraged navierstokes rans equations deduced earsm can be readily implemented existing computational fluid dynamic cfd codes promotes identification physically interpretable turbulence models existing sr methods such genetic programming sparse regression artificial neural networks require userdefined functional operators library candidates complex optimization algorithms work novel framework using llms automatically discover algebraic expressions correcting rsm proposed direct observation reynolds stress indirect output cfd simulation are both involved training process guarantee data consistency avoid numerical stiffness constraints functional complexity convergence are supplementally imposed objective function account tremendous flexibility llms evolutionary search employed global optimization proposed method performed separated flow over periodic hills re generalizability discovered model verified set turbulent separated flow configurations different reynolds numbers geometries it demonstrated corrective rans can improve prediction both reynolds stress mean velocity fields compared algebraic models discovered other works discovered model performs better accuracy generalization capability proposed approach provides promising paradigm using llms improve turbulence modeling given class flows
A Physics-Informed Neural Network to Model Port Channels,Fluid Dynamics,we describe physicsinformed neural network pinn simulates flow induced astronomical tide synthetic port channel dimensions based santos sao vicente bertioga estuarine system pinn models aim combine knowledge physical systems datadriven machine learning models done training neural network minimize residuals governing equations sample points work our flow governed navierstokes equations some approximations there are two main novelties paper first we design our model assume flow periodic time which not feasible conventional simulation methods second we evaluate benefit resampling function evaluation points during training which has near zero computational cost has been verified improve final model especially small batch sizes finally we discuss some limitations approximations used navierstokes equations regarding modeling turbulence how it interacts pinns
Assessment of machine learning methods for state-to-state approaches,Fluid Dynamics,it well known numerical simulations highspeed reacting flows framework statetostate formulations are most detailed but also often prohibitively computationally expensive work we start investigate possibilities offered use machine learning methods statetostate approaches alleviate such burden regard several tasks have been identified firstly we assessed potential stateoftheart datadriven regression models based machine learning predict relaxation source terms which appear righthand side statetostate euler system equations onedimensional reacting flow nn binary mixture behind plane shock wave it found appropriately choosing regressor opportunely tuning its hyperparameters it possible achieve accurate predictions compared fullscale statetostate simulation significantly shorter times secondly we investigated different strategies speedup our inhouse statetostate solver coupling it bestperforming pretrained machine learning algorithm embedding machine learning methods into ordinary differential equations solvers may offer speedup several orders magnitude but some care should be paid how where such coupling realized performances are found be strongly dependent mutual nature interfaced codes finally we aimed inferring full solution statetostate euler system equations means deep neural network completely bypassing use statetostate solver while relying only data promising results suggest deep neural networks appear be viable technology also these tasks
Graphical law beneath each written natural language,General Physics,we study twenty four written natural languages we draw log scale number words starting letter vs rank letter both normalised we find all graphs are similar type graphs are tantalisingly closer curves reduced magnetisation vs reduced temperature magnetic materials we make weak conjecture curve magnetisation underlies written natural language
Emergence in artificial life,General Physics,even when concepts similar emergence have been used since antiquity we lack agreed definition however emergence has been identified one main features complex systems most would agree statement life complex thus understanding emergence complexity should benefit study living systems it can be said life emerges interactions complex molecules but how useful understand living systems artificial life alife has been developed recent decades study life using synthetic approach build it understand it alife systems are not so complex be them soft simulations hard robots wet protocells then we can aim first understanding emergence alife then using knowledge biology argue understand emergence life it becomes useful use information framework general sense define emergence information not present one scale but present another scale perspective avoids problems studying emergence materialist framework can be also useful study selforganization complexity
Graphical law beneath each written natural language,General Physics,we study twenty four written natural languages we draw log scale number words starting letter vs rank letter both normalised we find all graphs are similar type graphs are tantalisingly closer curves reduced magnetisation vs reduced temperature magnetic materials we make weak conjecture curve magnetisation underlies written natural language
Graphical law beneath each written natural language,General Physics,we study twenty four written natural languages we draw log scale number words starting letter vs rank letter both normalised we find all graphs are similar type graphs are tantalisingly closer curves reduced magnetisation vs reduced temperature magnetic materials we make weak conjecture curve magnetisation underlies written natural language
Emergence in artificial life,General Physics,even when concepts similar emergence have been used since antiquity we lack agreed definition however emergence has been identified one main features complex systems most would agree statement life complex thus understanding emergence complexity should benefit study living systems it can be said life emerges interactions complex molecules but how useful understand living systems artificial life alife has been developed recent decades study life using synthetic approach build it understand it alife systems are not so complex be them soft simulations hard robots wet protocells then we can aim first understanding emergence alife then using knowledge biology argue understand emergence life it becomes useful use information framework general sense define emergence information not present one scale but present another scale perspective avoids problems studying emergence materialist framework can be also useful study selforganization complexity
"Hyperparameter Tuning for Causal Inference with Double Machine Learning:
  A Simulation Study",Econometrics,proper hyperparameter tuning essential achieving optimal performance modern machine learning ml methods predictive tasks while there extensive literature tuning ml learners prediction there only little guidance available tuning ml learners causal machine learning how select among different ml learners paper we empirically assess relationship between predictive performance ml methods resulting causal estimation based double machine learning dml approach chernozhukov et al dml relies estimating socalled nuisance parameters treating them supervised learning problems using them plugin estimates solve causal parameter we conduct extensive simulation study using data atlantic causal inference data challenge we provide empirical insights role hyperparameter tuning other practical decisions causal estimation dml first we assess importance data splitting schemes tuning ml learners within double machine learning second we investigate how choice ml methods hyperparameters including recent automl frameworks impacts estimation performance causal parameter interest third we assess what extent choice particular causal model characterized incorporated parametric assumptions can be based predictive performance metrics
Adaptive Combinatorial Allocation,Econometrics,we consider settings where allocation has be chosen repeatedly returns are unknown but can be learned decisions are subject constraints our model covers twosided onesided matching even complex constraints we propose approach based thompson sampling our main result priorindependent finitesample bound expected regret algorithm although number allocations grows exponentially number participants bound does not depend number we illustrate performance our algorithm using data refugee resettlement united states
"Algorithmic Collusion in Cournot Duopoly Market: Evidence from
  Experimental Economics",Econometrics,algorithmic collusion emerging concept current artificial intelligence age whether algorithmic collusion creditable threat remains argument paper we propose algorithm which can extort its human rival collude cournot duopoly competing market experiments we show algorithm can successfully extorted its human rival gets higher profit long run meanwhile human rival will fully collude algorithm result social welfare declines rapidly stably both theory experiment our work confirms algorithmic collusion can be creditable threat application we hope frameworks algorithm design well experiment environment illustrated work can be incubator test bed researchers policymakers handle emerging algorithmic collusion
"Forecasting in Big Data Environments: an Adaptable and Automated
  Shrinkage Estimation of Neural Networks (AAShNet)",Econometrics,paper considers improved forecasting possibly nonlinear dynamic settings highdimension predictors big data environments overcome curse dimensionality manage data model complexity we examine shrinkage estimation backpropagation algorithm deep neural net skiplayer connections we expressly include both linear nonlinear components highdimensional learning approach including both sparsity smoothness penalties allowing highdimensionality nonlinearity be accommodated one step approach selects significant predictors well topology neural network we estimate optimal values shrinkage hyperparameters incorporating gradientbased optimization technique resulting robust predictions improved reproducibility latter has been issue some approaches statistically interpretable unravels some network structure commonly left black box additional advantage nonlinear part tends get pruned if underlying process linear application forecasting equity returns proposed approach captures nonlinear dynamics between equities enhance forecast performance it offers appreciable improvement over current univariate multivariate models rmse actual portfolio performance
Weighted-average quantile regression,Econometrics,paper we introduce weightedaverage quantile regression framework int qyxupsiudu xbeta where dependent variable vector covariates qyx quantile function conditional distribution given psi weighting function beta vector parameters we argue framework interest many applied settings develop estimator vector parameters beta we show our estimator sqrt tconsistent asymptotically normal mean zero easily estimable covariance matrix where size available sample we demonstrate usefulness our estimator applying it two empirical settings first setting we focus financial data study factor structures expected shortfalls industry portfolios second setting we focus wage data study inequality social welfare dependence commonly used individual characteristics
The persistence landscape and some of its properties,Algebraic Topology,persistence landscapes map persistence diagrams into function space which may often be taken be banach space even hilbert space latter case it feature map there associated kernel main advantage summary it allows one apply tools statistics machine learning furthermore mapping persistence diagrams persistence landscapes stable invertible we introduce weighted version persistence landscape define oneparameter family poissonweighted persistence landscape kernels may be useful learning we also demonstrate some additional properties persistence landscape first persistence landscape may be viewed tropical rational function second many cases it possible exactly reconstruct all component persistence diagrams average persistence landscape it follows persistence landscape kernel characteristic certain generic empirical measures finally persistence landscape distance may be arbitrarily small compared interleaving distance
"Fast Topological Signal Identification and Persistent Cohomological
  Cycle Matching",Algebraic Topology,within context topological data analysis problems identifying topological significance matching signals across datasets are important useful inferential tasks many applications limitation existing solutions these problems however computational speed paper we harness stateoftheart persistent homology computation studying problem determining topological prevalence cycle matching using cohomological approach which increases their feasibility applicability wider variety applications contexts we demonstrate wide range reallife largescale complex datasets we extend existing notions topological prevalence cycle matching include general nonmorse filtrations provides most general flexible stateoftheart adaptation topological signal identification persistent cycle matching which performs comparisons orders ten thousands sampled points matter minutes standard institutional hpc cpu facilities
A New Non-archimedean Metric on Persistent Homology,Algebraic Topology,article we define new nonarchimedean metric structure called cophenetic metric persistent homology classes all degrees we then show zeroth persistent homology together cophenetic metric hierarchical clustering algorithms number different metrics do deliver statistically verifiable commensurate topological information based experimental results we obtained different datasets we also observe resulting clusters coming cophenetic distance do shine terms different evaluation measures such silhouette score rand index moreover since cophenetic metric defined all homology degrees one can now display interrelations persistent homology classes all degrees via rooted trees
"Fast Topological Signal Identification and Persistent Cohomological
  Cycle Matching",Algebraic Topology,within context topological data analysis problems identifying topological significance matching signals across datasets are important useful inferential tasks many applications limitation existing solutions these problems however computational speed paper we harness stateoftheart persistent homology computation studying problem determining topological prevalence cycle matching using cohomological approach which increases their feasibility applicability wider variety applications contexts we demonstrate wide range reallife largescale complex datasets we extend existing notions topological prevalence cycle matching include general nonmorse filtrations provides most general flexible stateoftheart adaptation topological signal identification persistent cycle matching which performs comparisons orders ten thousands sampled points matter minutes standard institutional hpc cpu facilities
"Fast Topological Signal Identification and Persistent Cohomological
  Cycle Matching",Algebraic Topology,within context topological data analysis problems identifying topological significance matching signals across datasets are important useful inferential tasks many applications limitation existing solutions these problems however computational speed paper we harness stateoftheart persistent homology computation studying problem determining topological prevalence cycle matching using cohomological approach which increases their feasibility applicability wider variety applications contexts we demonstrate wide range reallife largescale complex datasets we extend existing notions topological prevalence cycle matching include general nonmorse filtrations provides most general flexible stateoftheart adaptation topological signal identification persistent cycle matching which performs comparisons orders ten thousands sampled points matter minutes standard institutional hpc cpu facilities
Solving Optimization Problems by the Public Goods Game,Physics and Society,we introduce method based public goods game solving optimization tasks particular we focus traveling salesman problem ie nphard problem whose search space exponentially grows increasing number cities proposed method considers population whose agents are provided random solution given problem doing so agents interact playing public goods game using fitness their solution currency game notably agents better solutions provide higher contributions while those lower ones tend imitate solution richer agents increasing their fitness numerical simulations show proposed method allows compute exact solutions suboptimal ones considered search spaces result beyond propose new heuristic combinatorial optimization problems our work aims highlight potentiality evolutionary game theory beyond its current horizons
"Frequency patterns of semantic change: Corpus-based evidence of a
  near-critical dynamics in language change",Physics and Society,it generally believed when linguistic item acquires new meaning its overall frequency use language rises time sshaped growth curve yet claim has only been supported limited number case studies paper we provide first corpusbased quantitative confirmation genericity scurve language change moreover we uncover another generic pattern latency phase variable duration preceding sgrowth during which frequency use semantically expanding word remains low more less constant we also propose usagebased model language change supported cognitive considerations which predicts both phases latency fast sgrowth take place driving mechanism stochastic dynamics random walk space frequency use underlying deterministic dynamics highlights role control parameter strength cognitive impetus governing onset change which tunes system vicinity saddlenode bifurcation neighborhood critical point latency phase corresponds diffusion time over critical region sgrowth fast convergence follows duration two phases computed specific first passage times random walk process leading distributions fit well ones extracted our dataset we argue our results are not specific studied corpus but apply semantic change general
"Network structure, metadata and the prediction of missing nodes and
  annotations",Physics and Society,empirical validation community detection methods often based available annotations nodes serve putative indicators largescale network structure most often suitability annotations topological descriptors itself not assessed without it not possible ultimately distinguish between actual shortcomings community detection algorithms one hand incompleteness inaccuracy structured nature data annotations themselves other work we present principled method access both aspects simultaneously we construct joint generative model data metadata nonparametric bayesian framework infer its parameters annotated datasets we assess quality metadata not according its direct alignment network communities but rather its capacity predict placement edges network we also show how feature can be used predict connections missing nodes when only metadata available well missing metadata investigating wide range datasets we show while there are seldom exact agreements between metadata tokens inferred data groups metadata often informative network structure nevertheless can improve prediction missing nodes shows method uncovers meaningful patterns both data metadata without requiring expecting perfect agreement between two
The predictability of letters in written english,Physics and Society,we show predictability letters written english texts depends strongly their position word first letters are usually least easy predict agrees intuitive notion words are well defined subunits written languages much weaker correlations across these units than within them it implies average entropy letter deep inside word roughly times smaller than entropy first letter
"How social feedback processing in the brain shapes collective opinion
  processes in the era of social media",Physics and Society,what are mechanisms which groups certain opinions gain public voice force others holding different view into silence how does social media play into drawing recent neuroscientific insights into processing social feedback we develop theoretical model allows address these questions model captures phenomena described spiral silence theory public opinion provides mechanismbased foundation it allows way more general insight into how different group structures relate different regimes collective opinion expression even strong majorities can be forced into silence if minority acts cohesive whole proposed framework social feedback theory sft highlights need sociological theorising understand societallevel implications findings social cognitive neuroscience
Cataloging Accreted Stars within Gaia DR2 using Deep Learning,Astrophysics of Galaxies,goal study present development machine learning based approach utilizes phase space alone separate gaia dr stars into two categories those accreted onto milky way those are situ traditional selection methods have been used identify accreted stars typically rely full velocity metallicity information both which significantly reduces number classifiable stars approach advocated here applicable much larger portion gaia dr method known transfer learning shown be effective through extensive testing set mock gaia catalogs are based fire cosmological zoomin hydrodynamic simulations milky waymass galaxies machine first trained simulated data using only kinematics inputs then further trained crossmatched gaiarave data set which improves sensitivity properties real milky way result catalog identifies around accreted stars within gaia dr catalog can yield empirical insights into merger history milky way could be used infer properties dark matter distribution
